dia,hora,partido,inf,sup,med
02,0020,AMLO,53.12,53.73,53.43
02,0020,JAMK,15.83,16.36,16.08
02,0020,JHRC,5.25,5.59,5.37
02,0020,PART,63.11,63.89,63.49
02,0020,RAC,21.98,22.54,22.25
02,0025,AMLO,53.12,53.73,53.43
02,0025,JAMK,15.84,16.36,16.08
02,0025,JHRC,5.25,5.58,5.36
02,0025,PART,63.1,63.88,63.48
02,0025,RAC,21.98,22.54,22.25
02,0030,AMLO,53.12,53.73,53.43
02,0030,JAMK,15.84,16.36,16.08
02,0030,JHRC,5.25,5.58,5.36
02,0030,PART,63.1,63.87,63.48
02,0030,RAC,21.98,22.54,22.25
